Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2019,Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,.613,.237,.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,.279,,7.4,4.1,11.5,6.6
2018,Giannis Antetokounmpo,PF,24,MIL,72,2358,30.9,.644,.163,.550,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,,8.9,5.5,14.4,.292,,6.3,4.1,10.4,7.4
2017,James Harden,SG,28,HOU,72,2551,29.8,.619,.498,.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,,11.6,3.8,15.4,.289,,8.5,1.4,9.9,7.7
2016,Russell Westbrook,PG,28,OKC,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,,8.5,4.6,13.1,.224,,8.7,2.4,11.1,9.3
2015,Stephen Curry,PG,27,GSW,79,2700,31.5,.669,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,,13.8,4.1,17.9,.318,,10.3,1.6,11.9,9.5
2014,Stephen Curry,PG,26,GSW,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,,11.5,4.1,15.7,.288,,8.2,1.7,9.9,7.9
2013,Kevin Durant,SF,25,OKC,81,3122,29.8,.635,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,,14.8,4.4,19.2,.295,,8.8,1.4,10.2,9.6
2012,LeBron James,PF,28,MIA,76,2877,31.6,.640,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,.322,,9.3,2.4,11.7,9.9
2011,LeBron James,SF,27,MIA,62,2326,30.7,.605,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,.298,,8.2,2.7,10.9,7.6
2010,Derrick Rose,PG,22,CHI,81,3026,23.5,.550,.241,.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,.208,,6.3,0.5,6.8,6.7
2009,LeBron James,SF,25,CLE,76,2966,31.1,.604,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,.299,,9.1,2.8,11.8,10.3
2008,LeBron James,SF,24,CLE,81,3054,31.7,.591,.238,.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,.318,,9.5,3.7,13.2,11.8
2007,Kobe Bryant,SG,29,LAL,82,3192,24.2,.576,.246,.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,,9.5,4.3,13.8,.208,,5.2,0.6,5.8,6.3
2006,Dirk Nowitzki,PF,28,DAL,78,2820,27.6,.605,.129,.411,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,,11.8,4.5,16.3,.278,,7.2,1.2,8.3,7.4
2005,Steve Nash,PG,31,PHO,79,2796,23.3,.632,.324,.264,1.9,11.1,6.6,44.4,1.1,0.3,19.0,23.3,,10.3,2.1,12.4,.212,,5.7,-0.7,5.0,4.9
2004,Steve Nash,PG,30,PHO,75,2573,22.0,.606,.254,.278,2.5,7.6,5.2,49.2,1.4,0.2,20.3,20.5,,9.7,1.2,10.9,.203,,5.5,-0.8,4.7,4.4
2003,Kevin Garnett,PF,27,MIN,82,3231,29.4,.547,.027,.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,,10.4,8.0,18.3,.272,,6.8,3.3,10.2,10.0
2002,Tim Duncan,PF,26,SAS,81,3181,26.9,.564,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,,9.5,6.9,16.5,.248,,5.0,2.5,7.6,7.7
2001,Tim Duncan,PF,25,SAS,82,3329,27.0,.576,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,,10.7,7.1,17.8,.257,,5.4,2.2,7.6,8.0
2000,Allen Iverson,SG,25,PHI,71,2979,24.0,.518,.169,.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,,7.3,4.5,11.8,.190,,5.0,1.1,6.1,6.1
1999,Shaquille O'Neal,C,27,LAL,79,3163,30.6,.578,.001,.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,,11.7,7.0,18.6,.283,,7.3,2.0,9.3,9.0